class_name,sample_count,samples_per_signal,class_type,mentions_transient,mentions_sag,mentions_swell,mentions_harmonics,mentions_flicker,mentions_notch_spike
Flicker,1000,100,pure,0,0,0,0,1,0
Flicker_with_Sag,1000,100,compound,0,1,0,0,1,0
Flicker_with_Swell,1000,100,compound,0,0,1,0,1,0
Harmonics,1000,100,pure,0,0,0,1,0,0
Harmonics_with_Sag,1000,100,compound,0,1,0,1,0,0
Harmonics_with_Swell,1000,100,compound,0,0,1,1,0,0
Interruption,1000,100,pure,0,0,0,0,0,0
Notch,1000,100,pure,1,0,0,0,0,1
Oscillatory_Transient,1000,100,pure,1,0,0,0,0,0
Pure_Sinusoidal,1000,100,pure,0,0,0,0,0,0
Sag,1000,100,pure,0,1,0,0,0,0
Sag_with_Harmonics,1000,100,compound,0,1,0,1,0,0
Sag_with_Oscillatory_Transient,1000,100,compound,1,1,0,0,0,0
Swell,1000,100,pure,0,0,1,0,0,0
Swell_with_Harmonics,1000,100,compound,0,0,1,1,0,0
Swell_with_Oscillatory_Transient,1000,100,compound,1,0,1,0,0,0
Transient,1000,100,pure,1,0,0,0,0,0
