class_name,mean_mean,mean_std,rms_mean,rms_std,std_mean,std_std,peak_pos_mean,peak_neg_mean,peak_to_peak_mean,crest_factor_mean,zero_crossings_mean,skewness_mean,kurtosis_mean,dominant_frequency_hz_mean,spectral_centroid_hz_mean,total_spectral_energy_mean,fundamental_band_ratio_mean,high_freq_energy_ratio_mean,derivative_energy_mean,transient_energy_proxy_mean,waveform_factor_mean
Flicker,-5.8e-05,0.009712,0.742056,0.008011,0.741992,0.007998,1.050266,-1.051122,2.101388,1.43875,1.973,-0.000252,-1.514329,50.0,50.020361,2754.024016,0.999917,1.7e-05,0.002174,0.021999,1.110973
Flicker_with_Sag,0.007458,0.100861,0.566433,0.106662,0.556729,0.109812,0.876665,-0.858444,1.735109,1.843085,1.979,0.009388,-1.126485,50.0,59.907529,1712.190371,0.969354,0.006899,0.003365,0.035528,1.185509
Flicker_with_Swell,0.00215,0.096012,0.940063,0.120984,0.935356,0.119379,1.389186,-1.380579,2.769765,1.596935,1.983,0.003006,-1.445018,50.0,51.864386,4537.805933,0.993641,0.001408,0.005134,0.02637,1.125883
Harmonics,-0.0,0.0,0.718424,0.003582,0.718424,0.003582,1.117968,-1.117968,2.235936,1.555995,2.043,0.0,-1.413463,50.0,56.237544,2580.727432,0.968815,0.0,0.003713,0.023137,1.121578
Harmonics_with_Sag,-0.001372,0.102913,0.542507,0.109195,0.531877,0.11297,0.866984,-0.874127,1.741112,1.976912,1.982,0.010931,-0.952319,50.0,64.069037,1584.076825,0.945565,0.007757,0.00356,0.039583,1.212681
Harmonics_with_Swell,-0.002442,0.093346,0.915843,0.115606,0.911289,0.113909,1.423532,-1.426336,2.849868,1.689215,1.984,-0.001777,-1.363075,50.0,55.00395,4304.184662,0.973009,0.001413,0.006186,0.028284,1.134464
Interruption,0.146294,0.146381,0.423977,0.150759,0.37544,0.136812,0.855692,-0.402628,1.25832,2.523584,1.0,0.590489,1.009086,52.45,93.191133,1226.420608,0.859606,0.032941,0.006471,0.054032,1.655554
Notch,2e-06,0.004102,0.68929,0.015298,0.689278,0.01529,0.999412,-0.99941,1.998822,1.450658,2.991,0.000143,-1.467888,50.0,58.009783,2376.863763,0.987199,0.006542,0.006797,0.02205,1.118648
Oscillatory_Transient,-0.000266,0.006728,0.728648,0.020432,0.728617,0.020415,1.180063,-1.16634,2.346403,1.791289,3.496,0.005273,-1.336976,50.0,82.634102,2656.978933,0.943465,0.040923,0.021798,0.023159,1.126916
Pure_Sinusoidal,-0.0,0.0,0.707107,0.0,0.707107,0.0,1.0,-1.0,2.0,1.414214,1.0,0.0,-1.515306,50.0,50.0,2500.0,1.0,0.0,0.001953,0.019543,1.111086
Sag,0.071229,0.09208,0.526637,0.114582,0.512934,0.117605,0.895023,-0.666903,1.561926,1.871255,1.0,0.185083,-1.147851,50.0,57.452557,1520.056519,0.970061,0.006167,0.003124,0.031964,1.194902
Sag_with_Harmonics,-0.005367,0.103508,0.538129,0.10354,0.527232,0.107699,0.819848,-0.840165,1.660013,1.860282,2.33,-0.030908,-1.088037,50.0,62.385179,1555.164257,0.954814,0.007481,0.003298,0.03656,1.20191
Sag_with_Oscillatory_Transient,0.002542,0.101452,0.5712,0.098493,0.561377,0.102654,0.954071,-0.936515,1.890586,1.867849,6.629,0.021096,-1.058122,53.15,116.111073,1731.310754,0.871267,0.077762,0.022316,0.032824,1.188937
Swell,-0.071782,0.081267,0.906038,0.119869,0.899767,0.118071,1.197614,-1.420861,2.618475,1.582019,1.0,-0.092684,-1.462357,50.0,50.490787,4235.062142,0.995989,0.000853,0.004789,0.024292,1.127615
Swell_with_Harmonics,-0.00248,0.091936,0.897089,0.116233,0.892583,0.11456,1.321937,-1.325224,2.647161,1.602325,1.983,-0.002714,-1.439976,50.0,51.975997,4133.606505,0.992589,0.001364,0.004887,0.026474,1.126161
Swell_with_Oscillatory_Transient,6.2e-05,0.092394,0.921937,0.118175,0.917507,0.116555,1.505824,-1.509868,3.015692,1.877477,2.879,-0.002699,-1.302556,50.0,71.994945,4362.295968,0.957993,0.026318,0.023731,0.027681,1.137191
Transient,0.003693,0.001765,0.707237,0.004056,0.707226,0.004056,1.015919,-1.000004,2.015923,1.436835,2.003,-5.5e-05,-1.512235,50.0,50.439851,2501.092204,0.999219,0.000383,0.002241,0.021562,1.110985
