class_name,mat_class_index,same_shape,max_abs_diff,exact_match
Pure_Sinusoidal,0,1,4.996003610813204e-16,1
Sag,1,1,5.551115123125783e-16,1
Swell,2,1,5.10702591327572e-15,1
Interruption,3,1,4.996003610813204e-16,1
Transient,4,1,4.884981308350689e-15,1
Oscillatory_Transient,5,1,5.10702591327572e-15,1
Harmonics,6,1,5.10702591327572e-15,1
Harmonics_with_Sag,7,1,5.10702591327572e-15,1
Harmonics_with_Swell,8,1,5.10702591327572e-15,1
Flicker,9,1,5.10702591327572e-15,1
Flicker_with_Sag,10,1,5.10702591327572e-15,1
Flicker_with_Swell,11,1,5.10702591327572e-15,1
Sag_with_Oscillatory_Transient,12,1,4.884981308350689e-15,1
Swell_with_Oscillatory_Transient,13,1,5.10702591327572e-15,1
Sag_with_Harmonics,14,1,5.551115123125783e-16,1
Swell_with_Harmonics,15,1,5.10702591327572e-15,1
Notch,16,1,5.551115123125783e-16,1
